pyramid_group,subitem,source_g_per_day,source_weight_basis,source_kcal_per_day,normalized_g_per_day_at_reference_kcal,scaled_normalized_g_per_day_estonia,normalization_method
"Vegetables, fruits & berries",Vegetables,300.0,edible_source_weight,95.0,316.6666666666667,294.811125,Source energy converted using the destination TAI representative g/kcal.
"Vegetables, fruits & berries",Legumes,75.0,dry,275.0,211.53846153846155,196.93860576923078,Source energy converted using the destination TAI representative g/kcal.
"Vegetables, fruits & berries",Fruits+Berries (combined),200.0,edible_source_weight,145.0,290.0,269.98492500000003,Source fruit energy converted using the TAI fruit/berry component mix.
Grain products & potatoes,High-fibre bread/baked goods,117.90514309194256,dry,412.66800082179896,151.31160030132628,140.8684519275295,Source whole-grain mass and energy split by TAI bread/porridge energy shares; converted using the destination TAI g/kcal.
Grain products & potatoes,Porridges/pasta/rice/grain products,92.09485690805744,dry,322.33199917820104,300.8431992329877,280.07975372992496,Source whole-grain mass and energy split by TAI bread/porridge energy shares; converted using the destination TAI g/kcal.
Grain products & potatoes,"Potato, sweet potato",50.0,edible_source_weight,50.0,66.66666666666666,62.06549999999999,Source energy converted using the destination TAI representative g/kcal.
Dairy products,(total),250.0,milk_equivalent,145.0,240.56818181818184,223.96476732954548,Source energy converted using the destination TAI representative g/kcal.
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",50.0,dry,275.0,48.51207121551081,45.16388934039429,Source nut energy converted using the TAI nuts/seeds component mix.
"Nuts, seeds, oils & fats","Oils/fats/spreads (rapeseed, representative)",51.0,edible_source_weight,455.0,45.5,42.35970375,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Fish & seafood,30.0,edible_source_weight,25.0,16.796875,15.637596679687501,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Eggs,15.0,edible_source_weight,20.0,15.0,13.9647375,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Poultry,30.0,edible_source_weight,60.0,29.625,27.5803565625,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Red meat,15.0,edible_source_weight,45.0,21.09375,19.637912109375,Source energy converted using the destination TAI representative g/kcal.
"Sweets, snacks & discretionary",(total),30.0,edible_source_weight,115.0,36.225,33.724841062500005,Source energy converted using the destination TAI representative g/kcal.
