pyramid_group,subitem,scenario_A_self_sufficiency_pct,scenario_B_self_sufficiency_pct,scenario_C_self_sufficiency_pct,scenario_C2_self_sufficiency_pct,feed_adjusted_low_bound_pct,flag_below_50pct_scenario_C,flag_scenario_C_worsens_dependency,flag_below_50pct_scenario_C2,flag_scenario_C2_worsens_dependency,flag_below_50pct_scenario_A,flag_below_50pct_scenario_B,flag_feed_adjusted_extends_concern,flag_scenario_B_worsens_dependency,flag_unresolved_data_gap,reason
Grain products & potatoes,High-fibre bread/baked goods,332.5,185.9,353.0,374.4,,N,N,N,N,N,N,N/A,Y,N,"Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed."
Grain products & potatoes,Porridges/pasta/rice/grain products,"0% - 178%+ (wide, unresolved -- see self_sufficiency_model.csv)",proportionally lower than the Scenario A range (demand rises 2.08x) -- not stated as a number since the Scenario A range itself has no resolved point estimate to scale,proportionally different from the Scenario A range (see demand_change_ratio_C_over_A) -- not stated as a number since the Scenario A range itself has no resolved point estimate,proportionally different from the Scenario A upper bound (see demand_change_ratio_C2_over_A) -- still not stated as a single number for the same reason,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,"Phase 12 narrowed this from an unresolved 0%-178%+ span to a ~156.2% upper bound (rice 0% + porridge grains 210.4%, FAOSTAT-weighted; pasta still excluded, unweighted) -- still not a single resolved point estimate, so still flagged as a data gap, but a substantially tighter one. Phase 13 confirmed (rather than assumed) that pasta's raw material, durum wheat, is not commercially grown in Estonia (soft wheat only, per PIKK.ee; durum is experimental-only per ERR/Novaator 2024) even though pasta is manufactured domestically at Tartu Mill from imported durum. See PHASE12_NOTES.md and PHASE13_NOTES.md."
Grain products & potatoes,"Potato, sweet potato",66.9,36.8,146.3,140.5,,N,N,N,N,N,Y,N/A,Y,N,"Scenario A is above threshold (66.9%) but Scenario B (TAI-recommended diet) falls below it (36.8%) -- a dependency that only appears once diet composition shifts toward TAI guidance. Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed."
"Vegetables, fruits & berries",Vegetables,46.0,13.0,23.3,22.3,,Y,Y,Y,Y,Y,Y,N/A,Y,N,"Scenario A (status quo) self-sufficiency 46.0% is below the 50% threshold. Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed."
"Vegetables, fruits & berries",Fruits+Berries (combined),8.0,6.4,9.5,9.1,,Y,N,Y,N,Y,Y,N/A,Y,N,"Scenario A (status quo) self-sufficiency 8.0% is below the 50% threshold. Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed."
"Vegetables, fruits & berries",Legumes,bimodal -- see note (Phase 8 FAOSTAT update),bimodal -- see note (Phase 8 FAOSTAT update),bimodal -- see note (Phase 8 FAOSTAT update),bimodal -- see note (Phase 8 FAOSTAT update),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Phase 8 FAOSTAT cross-check revised this from 'unknown - assumed low' to a bimodal finding: Estonia is a large net exporter of field peas (feed/export use) but ~0% self-sufficient in dry beans/lentils (the more plate-relevant pulse type). Still flagged as an unresolved data gap for scenario/threshold purposes -- no single percentage exists to compare against the 50% threshold -- but no longer flagged as 'assumed low' without evidence.
Dairy products,(total),166.0,100.4,220.2,211.4,141.1,N,N,N,N,N,N,N,Y,N,"Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed. (Figure corrected post-launch from an earlier 61.1% -- the original dairy portion-to-gram conversion used only the milk line from Table 16.3; corrected to average across all six dairy sub-types, see methodology.md Section 4.2.)"
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",0.0,0.0,0.0,0.0,,Y,N,Y,N,Y,Y,N/A,N,N,"Now a confirmed (FAOSTAT 2022) 0% self-sufficiency across every scenario, not an unresolved assumption -- a genuine critical dependency (fully import-reliant), just no longer a data gap. Phase 12 update; see PHASE12_NOTES.md."
"Nuts, seeds, oils & fats","Oils/fats/spreads (rapeseed, representative)",69.3,60.8,27.0,26.3,,Y,Y,Y,Y,N,N,N/A,Y,N,"Scenario B (TAI-recommended diet) reduces self-sufficiency relative to Scenario A -- moving toward the recommended diet increases import dependency in this category, holding production fixed. Scenario C (the EAT-Lancet Planetary Health Diet) reduces it further still, to 27.0% -- newly crossing below the 50% threshold. This is a dependency that doesn't appear under Scenario A (69.3%) or Scenario B (60.8%) at all; it only emerges once demand shifts to EAT-Lancet's much higher recommended oils/fats intake (51.8 g/day vs. this project's own crosswalk figure), holding production fixed."
"Nuts, seeds, oils & fats","Oils/fats/spreads (sunflower, 0%)",0.0,0.0,0.0,0.0,,Y,N,Y,N,Y,Y,N/A,N,N,Scenario A (status quo) self-sufficiency 0.0% is below the 50% threshold.
