pyramid_group,subitem,derived_2024_pct,official_strategy_pct,headline_pct,data_status,note
Grain products & potatoes,High-fibre bread/baked goods,332.5,,332.5,derived,"Wheat+rye combined (production/domestic_use, PM20 2024): 817,371t / 245,873t. Uses a yield-cancellation argument: if the same milling/baking yield applies uniformly to domestic and imported grain, it cancels out of the production/domestic-use ratio, so raw-grain self-sufficiency approximates bread self-sufficiency. High confidence in direction (comfortably self-sufficient); the exact magnitude is a proxy, not a measured bread-specific figure - no official comparator exists for this sub-item."
Grain products & potatoes,Porridges/pasta/rice/grain products,,,"≤156.2% (upper bound; porridge grains 210.4%, rice 0%, pasta unweighted)","gap_range (narrowed, Phase 12)","Phase 12 update: FAOSTAT 2022 filled the oats gap (238.1% self-sufficient, previously blank in the Phase 1 PM20 pull) and gave real human-food consumption weights (kg/capita/yr: rice 4.77, barley 7.78, oats 5.97) to split this category between rice (25.8% of the weighted total, 0% self-sufficient) and oats+barley porridge grains (74.2%, 210.4% self-sufficient combined). Weighted blend of those two parts alone: ~156.2%. Presented as an UPPER BOUND, not the resolved category figure, because pasta (durum wheat, ~0% self-sufficient like rice per PM20's 0% durum production) is still excluded -- FAOSTAT doesn't separate durum from bread wheat, so no consumption weight for pasta specifically was available. Since pasta's true self-sufficiency is very likely near 0%, folding it in could only pull the blended figure down, never up -- hence 'upper bound.' See PHASE12_NOTES.md and docs/methodology.md Section 8. Phase 13 verification: confirmed Estonia produces pasta domestically (Tartu Mill) using imported durum wheat -- Estonia grows abundant common/soft wheat but not durum, which per PIKK.ee needs a drier, more continental climate than Estonia has; ERR/Novaator (2024) confirms durum is only an experimental trial crop on one farm, not commercially tracked. Pasta manufacturing is domestic; the raw durum input is not. This confirms (rather than merely assumes) pasta's ~0% raw-material self-sufficiency. See PHASE13_NOTES.md."
Grain products & potatoes,"Potato, sweet potato",63.7,70,66.9,derived+official_avg,"PM20/PM31 2024: 74,668t / 117,283t = 63.7%. Official 5yr-avg: 70%. Close (single-year vs 5yr-avg effect, already flagged in PHASE1_NOTES.md); headline uses the midpoint."
"Vegetables, fruits & berries",Vegetables,29.0,46,46,derived+official_preferred,"PM33 2024: single-year figure. Diverges notably from the official 5yr-average (29% vs 46%) - per PHASE1_NOTES.md this is flagged as the largest unexplained gap, plausibly single-year volatility (vegetables are a high-variance crop year to year) or a category-definition difference (fresh-only vs. all vegetables incl. processed). Headline uses the official sourced figure per PLAN.md's stated fallback methodology, given the size of the divergence."
"Vegetables, fruits & berries",Legumes,,,see note -- not a single figure,derived_from_faostat (revises prior gap_assumed),"Phase 8 (FAOSTAT 2022, Estonia) update: no Statistikaamet PM-series balance table exists for pulses/legumes, so this was carried as 'unknown - assumed low' through Phases 2-7. FAOSTAT's Pulses aggregate for 2022 shows Estonia is actually a LARGE NET EXPORTER: production 123kt vs. domestic supply 37kt = 332% self-sufficient in aggregate, driven almost entirely by field peas (95kt production, 558% self-sufficient) -- but field peas in Estonia are grown predominantly for animal feed and export, not as a fresh human-food pulse. FAOSTAT's own 'Beans' line (dry beans -- closer to what RTU011's 'legumes' survey category likely captures as a plate item) shows 0t domestic production, fully imported. So the honest updated picture is bimodal, not a single percentage: Estonia produces field peas in surplus (mostly not eaten domestically as a table legume), while human-food-relevant pulses (beans, lentils, chickpeas) appear to be ~0% domestically produced, closer to the original 'assumed low' guess for THAT specific slice. Presented as a range/qualitative finding rather than one number since RTU011's 'legumes' consumption category can't be matched to FAOSTAT's item-level split with confidence."
"Vegetables, fruits & berries",Fruits+Berries (combined),8.0,8,8,derived_matches_official,PM34 2024: exact match to the official figure. High confidence.
Dairy products,(total),134.9,166,166,derived+official_preferred,"Milk-equivalent aggregation across PM47's 9 product lines (see methodology note in PHASE5_NOTES.md for the generic conversion factors used - butter x20, cheese x10, cream x6, etc., none Estonia-specific or independently verified). Derived figure (134.9%) lands 31 points below the official 166%, likely because generic milk-equivalent factors are imprecise and/or the official figure uses a different or more complete methodology. Headline uses the official sourced figure given this gap; the derived figure is shown for transparency, not as the recommended number."
"Fish, eggs & meat",Fish & seafood,>200% (resource basis),300,300,derived+official_close,"agri.ee 2026 fish consumption study: production+catch far exceeds domestic use, consistent with the official >200%/300% figure. Critical caveat carried from Phase 2: only ~15% of this resource stays in Estonia for human consumption - the rest is exported. A high self-sufficiency ratio here does not mean fish is actually eaten domestically at that rate."
"Fish, eggs & meat",Eggs,53.2,54,53.6,derived+official_avg,"PM45 2024: 11.8/22.2*100=53.2% (production/human_consumption basis, matches Phase1's already-validated 53%). Very close to official 54%; headline uses the midpoint."
"Fish, eggs & meat",Poultry,58.4,57,57.7,derived+official_avg,PM42 2024: 22.2/38.0*100=58.4%. Very close to official 57%; headline uses the midpoint.
