pyramid_group,subitem,representative_g_per_portion,method_note
"Vegetables, fruits & berries",Vegetables,100,Single value given in Table 16.1 for vegetables generally.
"Vegetables, fruits & berries",Legumes,100,"Uses the cooked/edible-form gram weight (100g) from Table 16.1, matching the doc's puhaskaal/söömisvalmis convention; the 40g dried-weight figure is the same food at a different prep stage, not a separate quantity."
"Vegetables, fruits & berries",Fruits,100,"Single base value given in Table 16.1 for fruit generally; excludes named exceptions (banana 50g, grapes 70g etc) which apply to specific fruits only."
"Vegetables, fruits & berries",Berries,100,Single base value given in Table 16.1 for berries generally.
Grain products & potatoes,High-fibre bread/baked goods,27.5,Midpoint of the 25-30g bread/baked-goods range in Table 16.2; excludes näkileib/galett (20g) as a minor alternative form.
Grain products & potatoes,Porridges/pasta/rice/grain products,70,"Unweighted average of the four primary items in Table 16.2's 'Pudrud, pasta...' row group: cooked porridge 100g, cooked quinoa/amaranth 70g, cooked couscous 60g, cooked pasta/rice 50g. No consumption-share data exists to weight these properly - documented as an approximation, not a measurement."
Grain products & potatoes,"Potato, sweet potato",100,"Cooked potato, the primary item in Table 16.2; sweet potato (60g) is a minor alternative not separately tracked elsewhere in this model."
Dairy products,(total),182.5,"Post-launch correction: Table 16.3 actually lists six distinct dairy sub-types with very different portion masses (unsweetened milk/liquid dairy 300g, cottage cheese 140g, yogurt 200g, cheese 55g, cream 100g, flavored dairy products 300g -- all lowest-fat/first-listed variant per line), not one uniform dairy portion. The original build used only the milk line (300g) as if it represented the whole category. Corrected to an unweighted average across all six sub-types (182.5g), matching the convention already used for fish and poultry -- averaging across Table 16 tiers/variants when no consumption-share data exists to weight them properly. See docs/methodology.md Section 4.2 for the full derivation and the caveat this correction carries."
"Nuts, seeds, oils & fats",Nuts,15,Single value given in Table 16.4.
"Nuts, seeds, oils & fats","Seeds, cocoa",12.5,"Average of seeds (10g) and cocoa powder (15g) from Table 16.4, the two items combined under this Table 13 subitem."
"Nuts, seeds, oils & fats",Oils/fats/spreads,5,Uses the >50%-fat oil/butter/spread figure (5g) from Table 16.4 as the dominant/reference form; the <50%-fat spread alternative (10-15g) is not separately tracked.
"Fish, eggs & meat",Fish & seafood,53.75,"Unweighted average across Table 16.5's four fish fat-content tiers (lean 77.5g, medium-fat 67.5g, fatty 42.5g, very fatty 27.5g). No Estonian data on which tier dominates actual consumption - documented as an approximation."
"Fish, eggs & meat",Eggs,60,"One chicken egg = 60g egg mass, per Table 16.5."
"Fish, eggs & meat",Poultry,39.5,"Unweighted average across Table 16.5's five poultry cut/skin variants (55, 50, 35, 40, 17.5g). No cut-share data available - documented as an approximation."
"Fish, eggs & meat",Red meat,37.5,"Uses Table 16.5's primary fresh-cut category (pork/beef/lamb/veal, 37.5g) rather than the processed/organ-meat variants (liver, mince, salami, bacon), consistent with what PM42's beef/pork/sheep-goat balance-sheet data actually measures."
"Sweets, snacks & discretionary",(total),12.6,"Unweighted average of Table 16.6's five solid-sweets items (sugar 10g, honey 10g, syrup 15g, jam 20g, chocolate/candy 8g); sweetened drinks (100-200g, a much larger volume at the same 40kcal) are excluded as a different consumption form not comparable on a mass basis."
