pyramid_group,subitem,source_g_per_day,source_weight_basis,source_kcal_per_day,normalized_g_per_day_at_reference_kcal,scaled_normalized_g_per_day_estonia,normalization_method
"Vegetables, fruits & berries",Vegetables,300.0,edible_source_weight,78.0,260.0,232.37323200000003,Source energy converted using the destination TAI representative g/kcal.
"Vegetables, fruits & berries",Legumes,75.0,dry,284.0,218.46153846153848,195.2485144615385,Source energy converted using the destination TAI representative g/kcal.
"Vegetables, fruits & berries",Fruits+Berries (combined),200.0,edible_source_weight,126.0,252.0,225.2232864,Source fruit energy converted using the TAI fruit/berry component mix.
Grain products & potatoes,High-fibre bread/baked goods,130.2571104634794,dry,455.3384335598353,166.95742563860628,149.21706385401004,Source whole-grain mass and energy split by TAI bread/porridge energy shares; converted using the destination TAI g/kcal.
Grain products & potatoes,Porridges/pasta/rice/grain products,101.7428895365206,dry,355.6615664401647,331.9507953441537,296.678766073429,Source whole-grain mass and energy split by TAI bread/porridge energy shares; converted using the destination TAI g/kcal.
Grain products & potatoes,"Potato, sweet potato",50.0,edible_source_weight,39.0,52.0,46.474646400000005,Source energy converted using the destination TAI representative g/kcal.
Dairy products,(total),250.0,milk_equivalent,153.0,253.8409090909091,226.8685863818182,Source energy converted using the destination TAI representative g/kcal.
"Nuts, seeds, oils & fats","Nuts+Seeds,cocoa (combined)",50.0,edible_source_weight,291.0,51.33459172259507,45.87994227684563,Source nut energy converted using the TAI nuts/seeds component mix.
"Nuts, seeds, oils & fats","Oils/fats/spreads (rapeseed, representative)",51.8,edible_source_weight,450.0,45.0,40.218444000000005,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Fish & seafood,28.0,edible_source_weight,40.0,26.875,24.019348500000003,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Eggs,13.0,edible_source_weight,19.0,14.25,12.735840600000001,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Poultry,29.0,edible_source_weight,62.0,30.6125,27.35971371,Source energy converted using the destination TAI representative g/kcal.
"Fish, eggs & meat",Red meat,14.0,edible_source_weight,30.0,14.0625,12.568263750000002,Source energy converted using the destination TAI representative g/kcal.
"Sweets, snacks & discretionary",(total),31.0,edible_source_weight,120.0,37.8,33.78349296,Source energy converted using the destination TAI representative g/kcal.
