pyramid_group,subitem,variant_name,source_kind,source_label,portion_g,kcal_per_portion,whole_grain_bread_share,include_reason
"Vegetables, fruits & berries",Vegetables,baseline,baseline,Current crosswalk baseline,100,30,,Current representative conversion.
"Vegetables, fruits & berries",Vegetables,general_vegetables,tai_table16,"Köögiviljad (vegetables, general)",100,30,,General vegetables are the mapped output form.
"Vegetables, fruits & berries",Legumes,baseline,baseline,Current crosswalk baseline,100,130,,Current representative conversion.
"Vegetables, fruits & berries",Legumes,cooked_legumes,tai_table16,Kaunviljad söödaval kujul (cooked legumes),100,130,,Ready-to-eat edible basis.
"Vegetables, fruits & berries",Fruits+Berries (combined),baseline,baseline,Current crosswalk baseline,100,50,,Current fruit and berry conversion.
"Vegetables, fruits & berries",Fruits+Berries (combined),general_fruit,tai_table16,"Puuviljad (fruit, general - apples/pears etc)",100,50,,General fruit endpoint.
"Vegetables, fruits & berries",Fruits+Berries (combined),general_berries,tai_table16,"Marjad (berries, general)",100,50,,General berry endpoint.
"Vegetables, fruits & berries",Fruits+Berries (combined),dried_fruit_low,tai_table16,Kuivatatud puuvili (dried fruit),15,50,,Published low endpoint.
"Vegetables, fruits & berries",Fruits+Berries (combined),dried_fruit_high,tai_table16,Kuivatatud puuvili (dried fruit),20,50,,Published high endpoint.
"Vegetables, fruits & berries",Fruits+Berries (combined),dried_berries_low,tai_table16,Kuivatatud marjad,15,50,,Published low endpoint.
"Vegetables, fruits & berries",Fruits+Berries (combined),dried_berries_high,tai_table16,Kuivatatud marjad,20,50,,Published high endpoint.
Grain products & potatoes,High-fibre bread/baked goods,baseline,baseline,Current crosswalk baseline,27.5,75,,Current representative conversion.
Grain products & potatoes,High-fibre bread/baked goods,bread_low,tai_table16,"Leiva-/saiatooted (bread, high-fibre)",25,75,,Published low endpoint.
Grain products & potatoes,High-fibre bread/baked goods,bread_high,tai_table16,"Leiva-/saiatooted (bread, high-fibre)",30,75,,Published high endpoint.
Grain products & potatoes,High-fibre bread/baked goods,crispbread,tai_table16,Näkileivad või galetid,20,75,,Alternative bread form.
Grain products & potatoes,High-fibre bread/baked goods,all_grain_to_porridge,grain_allocation,Complete grain crosswalk,,,0,Explicit allocation endpoint.
Grain products & potatoes,High-fibre bread/baked goods,all_grain_to_bread,grain_allocation,Complete grain crosswalk,,,1,Explicit allocation endpoint.
Grain products & potatoes,Porridges/pasta/rice/grain products,baseline,baseline,Current crosswalk baseline,70,75,,Current representative conversion.
Grain products & potatoes,Porridges/pasta/rice/grain products,cooked_porridge,tai_table16,"Helbed/kruubid/tangud, pudruna (cooked porridge)",100,75,,Cooked form matches output basis.
Grain products & potatoes,Porridges/pasta/rice/grain products,quinoa_amaranth,tai_table16,Keedetud kinoa või amarant,70,75,,Cooked grain alternative.
Grain products & potatoes,Porridges/pasta/rice/grain products,couscous,tai_table16,Keedetud kuskuss,60,75,,Cooked grain alternative.
