pyramid_group,faostat_item,faostat_prod_kt,faostat_total_domestic_supply_kt,faostat_year,faostat_self_sufficiency_pct,project_self_sufficiency_pct,project_figure_source,note
Grain products & potatoes,Wheat and products,854,253,2022,337.5,,component of bread proxy,
Grain products & potatoes,Rye and products,51,28,2022,182.1,,component of bread proxy,
Grain products & potatoes,Wheat+Rye combined (bread proxy),905,281,2022,322.1,332.5,"self_sufficiency_model.csv: High-fibre bread/baked goods (PM20 2024, yield-cancellation proxy)","Close match: FAOSTAT 2022 raw wheat+rye ratio (322%) lands within ~3 percentage points of the PM20-2024-derived bread proxy (332.5%), despite different years and different exact item scope (FAOSTAT tracks raw grain, not bread). Strengthens confidence in the yield-cancellation argument for grain specifically."
Grain products & potatoes,Barley and products,489,238,2022,205.5,178,"self_sufficiency_model.csv: Porridges/pasta/rice range, upper bound (PM20 2024, barley alone)","Same ballpark (205% FAOSTAT 2022 vs 178% PM20 2024) -- both comfortably >100%, supporting the qualitative point that barley is the strong end of the porridge/pasta/rice range, even though the range itself stays unresolved."
Grain products & potatoes,Potatoes and products,73,111,2022,65.8,66.9,"self_sufficiency_model.csv: Potato, sweet potato (PM20/PM31 2024 + official avg)","Close match: FAOSTAT 2022 (65.8%) sits almost exactly at the project's headline figure (66.9%, itself a midpoint of a 63.7% derived / 70% official split). Good independent confirmation."
"Vegetables, fruits & berries",Vegetables (aggregate: tomatoes+onions+other),18,195,2022,9.2,46,"self_sufficiency_model.csv: Vegetables (PM33 2024 derived 29%, official 46% used as headline)","MATERIAL DIVERGENCE, flagged not resolved: FAOSTAT 2022 shows just 9.2% -- well below both the project's derived (29%) and headline/official (46%) figures. Possible drivers: FAOSTAT's international commodity classification for 'Vegetables, Other' may be narrower than Statistikaamet's PM33 category; international reporting for minor-crop production in small countries can lag or under-count relative to the national statistics office's own figures; 2022 may also have been a weaker vegetable-production year than the years underlying the official 5-year average. This is the same vegetables/fruit gap already flagged as the project's largest unexplained divergence since Phase 1 -- FAOSTAT adds a THIRD data point that disagrees with both existing ones, rather than resolving the discrepancy. Treated as an open, documented uncertainty."
"Vegetables, fruits & berries",Fruits - Excluding Wine (no berries),8,123,2022,6.5,8,self_sufficiency_model.csv: Fruits+Berries combined (matches official),Close match: FAOSTAT 2022 fruit-only figure (6.5%) is close to the project's fruit+berries-combined 8% -- consistent given FAOSTAT's item list here doesn't appear to break out Estonia's wild/cultivated berries separately (a known FAOSTAT limitation for minor crops).
"Fish, eggs & meat","Meat, total (incl. poultry)",75,96,2022,78.1,,n/a -- different scope from project's red-meat-only figure,
"Fish, eggs & meat",Bovine Meat (beef),9,12,2022,75.0,109,self_sufficiency_model.csv note: Red meat beef component (PM42 2024),"Notable divergence: FAOSTAT 2022 (75%) vs PM42 2024 (109%) -- different years for a sector (cattle) where herd size and slaughter volume can shift meaningfully year to year; possible carcass-weight or trade-accounting convention differences also plausible. Flagged, not resolved."
"Fish, eggs & meat",Pigmeat (pork),43,55,2022,78.2,72,self_sufficiency_model.csv note: Red meat pork component (PM42 2024),"Reasonably close: FAOSTAT 2022 (78.2%) vs PM42 2024 (72%), within ~6 points."
"Fish, eggs & meat",Poultry Meat,23,29,2022,79.3,57.7,self_sufficiency_model.csv: Poultry (PM42 2024 + official avg),"Notable divergence: FAOSTAT 2022 (79.3%) is well above PM42 2024's headline (57.7%). Two years apart in a sector that has seen real investment/capacity changes in the Baltics is a plausible driver; a definitional difference in what counts as 'poultry meat' (broiler-only vs. incl. turkey/duck) is also possible. Flagged, not resolved -- this reinforces rather than undercuts Phase 6/7's caution in treating poultry's feed-adjusted and scenario-B figures as sensitivities, not precise points."
"Fish, eggs & meat",Offals,4,4,2022,100,83,self_sufficiency_model.csv note: Red meat offal component (PM42 2024),Close given small absolute volumes (a few kt either way swings the ratio a lot); not a meaningful precision test at this scale.
"Fish, eggs & meat",Eggs,11,19,2022,57.9,53.6,self_sufficiency_model.csv: Eggs (PM45 2024 + official avg),Close match: FAOSTAT 2022 (57.9%) within ~4 points of PM45 2024's headline (53.6%). Good independent confirmation.
Dairy products,Milk - Excluding Butter,849,611,2022,139.0,166,self_sufficiency_model.csv: Dairy products (official headline; 134.9% derived milk-equivalent),"Interesting: FAOSTAT 2022 (139.0%) lands almost exactly on the project's own DERIVED milk-equivalent figure (134.9%), not the official headline (166%). This is an independent data point supporting the derived bottom-up build over the official strategy-document figure for this category -- worth noting as it slightly shifts confidence relative to Phase 5's original 'prefer official when they diverge' default."
"Fish, eggs & meat","Fish, Seafood",88,29,2022,303.4,300,"self_sufficiency_model.csv: Fish & seafood (official, resource-basis)","Near-exact match: FAOSTAT 2022 (303%) essentially confirms the official 300% resource-basis figure. Also independently corroborates the export-heavy caveat: FAOSTAT's own Food (human consumption) line for fish is 17kt against 88kt production -- ~19%, close to the ~15% 'stays domestic' figure already carried from Phase 2."
"Nuts, seeds, oils & fats",Rape and Mustardseed (raw),219,155,2022,141.3,69.3,self_sufficiency_model.csv note: raw rapeseed basis for the oil yield-cancellation proxy (PM37 2024),"MATERIAL DIVERGENCE, flagged not resolved: FAOSTAT 2022 raw-rapeseed self-sufficiency is 141.3%, roughly double the PM37-2024-derived figure (69.3%) this project's oil estimate is built on. Two plausible, unconfirmed drivers: (1) 2022 was an unusual year for Baltic/Black Sea region oilseed trade following Russia's invasion of Ukraine, which reshaped regional grain/oilseed flows -- a temporal effect, not necessarily a definitional one; (2) FAOSTAT's SUA/FBS accounting may treat seed crushed domestically for oil extraction differently from Statistikaamet's PM37 'domestic use' figure, particularly where the resulting oil is later exported. Not resolved -- presented as an open uncertainty."
"Nuts, seeds, oils & fats",Rape and Mustard Oil (refined),61,23,2022,265.2,69.3,self_sufficiency_model.csv: Oils/fats/spreads (rapeseed) -- oil self-sufficiency via yield-cancellation from raw seed,"CONFIRMS A FLAGGED LIMITATION: FAOSTAT 2022 refined-oil self-sufficiency is 265%, far above the 69.3% yield-cancellation proxy. Phase 5's own methodology note already flagged that the yield-cancellation argument 'breaks down if a meaningful share of Estonia's edible oil trade is in already-refined form rather than raw seed' -- this is exactly what FAOSTAT shows: Estonia produces far more refined rapeseed oil (61kt) than it consumes domestically (23kt supply), meaning a large share of crushed oil is exported directly as oil, not as raw seed. The true oil self-sufficiency is very likely well above the 69.3% raw-seed proxy, in Estonia's favour (i.e. the project's existing oils figure UNDERSTATES self-sufficiency, not overstates it) -- but the exact magnitude remains uncertain given the raw-seed-level divergence noted above."
"Nuts, seeds, oils & fats",Sunflowerseed Oil,1,4,2022,25.0,0,"self_sufficiency_model.csv: Oils/fats/spreads (sunflower) (PM37 2024, 0t production)","Minor divergence, negligible in absolute terms: FAOSTAT shows a small 1kt of domestic sunflower-oil production/processing in 2022 vs. PM37 2024's 0t. Both indicate a near-total import dependency for this oil type regardless of the exact reading."
Grain products & potatoes,Rice and products,0,7,2022,0.0,0,self_sufficiency_model.csv note: rice component of porridge/pasta/rice range,"Exact match: both sources confirm 0% domestic rice production, consistent with the project's existing assumption."
